"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"224588_at","224588_at","7503","XIST","X inactive specific transcript",8.4681411722122,7.55069353733832,20.251827934319,6.50516686596418e-16,3.27860410044595e-12,21.4106287601435
"225612_s_at","225612_s_at","84002","B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",1.44867296904094,5.31788265622179,6.91331975663121,5.46011559408581e-07,0.00137594912970962,6.14449040951529
"203990_s_at","203990_s_at","7403","KDM6A","lysine demethylase 6A",1.29418705752158,6.10733557466044,6.4538096893024,1.55612121426968e-06,0.00261428363997307,5.20660550561557
"230532_at","230532_at","159013","CXorf38","chromosome X open reading frame 38",1.22554652556503,8.13170828448655,6.30628778215999,2.19011485157577e-06,0.00275954471298546,4.89882349716199
"205403_at","205403_at","7850","IL1R2","interleukin 1 receptor type 2",1.78109177804792,6.13965711440394,5.8504818670048,6.39648464153964e-06,0.00644765651867195,3.92874670649446
"208092_s_at","208092_s_at","81553","CYRIA","CYFIP related Rac1 interactor A",1.31326469669377,8.01889080083181,5.31079706013662,2.33882027351467e-05,0.0191300230906445,2.74717772793924
"235281_x_at","235281_x_at","79026","AHNAK","AHNAK nucleoprotein",2.34216807663322,6.9793878149913,5.21351557050946,2.96241924252295e-05,0.0191300230906445,2.53101281834609
"235798_at","235798_at","100113407","TMEM170B","transmembrane protein 170B",1.27189325867693,8.90394198673566,5.13024909310853,3.62864075822435e-05,0.0191300230906445,2.34534334769683
"209136_s_at","209136_s_at","9100","USP10","ubiquitin specific peptidase 10",1.15431700558278,8.14655630393334,5.11205395400831,3.79334245916007e-05,0.0191300230906445,2.30469683293456
"76897_s_at","76897_s_at","23307","FKBP15","FKBP prolyl isomerase 15",1.928067179541,6.27517650912639,5.11180587868864,3.795639502112e-05,0.0191300230906445,2.3041424736192
"227393_at","227393_at","338440","ANO9","anoctamin 9",-1.02055824206412,8.07216303427555,-4.88112685411412,6.67493904557133e-05,0.0233675947887008,1.78677152379
"244774_at","244774_at","9749","PHACTR2","phosphatase and actin regulator 2",1.6052776775218,5.28966173900907,4.87998424411376,6.69367726729514e-05,0.0233675947887008,1.78420040886837
"236207_at","236207_at","6744","ITPRID2","ITPR interacting domain containing 2",0.990166202777953,3.94845065219501,4.87405263565041,6.79180813743813e-05,0.0233675947887008,1.770851849945
"204787_at","204787_at","11326","VSIG4","V-set and immunoglobulin domain containing 4",1.05178790745661,5.94048890257273,4.84589824696503,7.27773350276723e-05,0.0233675947887008,1.70746643204276
"205767_at","205767_at","2069","EREG","epiregulin",1.1278576354111,3.99672230664664,4.84020686373302,7.38014196206986e-05,0.0233675947887008,1.69464794470008
"201929_s_at","201929_s_at","8502","PKP4","plakophilin 4",-0.924012304347603,5.82115011583109,-4.78514501736903,8.44903886966393e-05,0.0233675947887008,1.5705492022083
"225617_at","225617_at","4957","ODF2","outer dense fiber of sperm tails 2",-0.82806898634949,7.22313249996424,-4.76160858561442,8.95227958833643e-05,0.0233675947887008,1.51745829613022
"1558847_at","1558847_at","100861555","LINC00565","long intergenic non-protein coding RNA 565",-1.26130407509484,6.74838948854692,-4.71754658349149,9.97691820701358e-05,0.0233675947887008,1.41800305926833
"212894_at","212894_at","6832","SUPV3L1","Suv3 like RNA helicase",-0.943534574118016,7.41197186945389,-4.6994076552912,0.000104322809467286,0.0233675947887008,1.37703760831133
"215936_s_at","215936_s_at","23325","WASHC4","WASH complex subunit 4",1.17363250157341,8.88404991939663,4.68140696394859,0.00010904833694452,0.0233675947887008,1.3363721112761
"212085_at","212085_at","293","SLC25A6","solute carrier family 25 member 6",0.904140336208807,12.2671332064632,4.65865467081921,0.000115330382552803,0.0233675947887008,1.28495579597451
"219890_at","219890_at","23601","CLEC5A","C-type lectin domain containing 5A",1.25407339426544,5.51566408329908,4.65437179690413,0.000116552967739006,0.0233675947887008,1.27527527372515
"213216_at","213216_at","23252","OTUD3","OTU deubiquitinase 3",-0.889622077520349,6.82368773407398,-4.6510069173277,0.000117522630683908,0.0233675947887008,1.2676692619584
"228341_at","228341_at","131870","NUDT16","nudix hydrolase 16",0.962973798074172,6.993590718157,4.64880918600619,0.000118160326005855,0.0233675947887008,1.26270128814949
"236345_at","236345_at","6916","TBXAS1","thromboxane A synthase 1",1.1112232334068,6.26132074379621,4.6486788912489,0.000118198241400672,0.0233675947887008,1.26240675186443
"203974_at","203974_at","8226","PUDP","pseudouridine 5'-phosphatase",0.948001304542052,8.52568125845772,4.64068788126417,0.000120547115973457,0.0233675947887008,1.24434174130446
"207085_x_at","207085_x_at","1438","CSF2RA","colony stimulating factor 2 receptor subunit alpha",1.64208484508217,7.3588593456993,4.56448874242107,0.000145439165202144,0.0269134357804849,1.07198983914918
"224685_at","224685_at","4301","AFDN","afadin, adherens junction formation factor",-0.97192848863507,6.58788491038313,-4.55326274992655,0.000149519087669361,0.0269134357804849,1.04658610625317
"201853_s_at","201853_s_at","994","CDC25B","cell division cycle 25B",-0.921791448042926,10.4722606278374,-4.53810808231805,0.000155209543697539,0.026974348283986,1.0122879147855
"1569857_s_at","1569857_s_at","7174","TPP2","tripeptidyl peptidase 2",0.960087815804735,6.72694566335631,4.50386180999651,0.000168881582281105,0.0283721058232257,0.934766125544749
"205141_at","205141_at","283","ANG","angiogenin",1.248217107346,5.90394926386317,4.45573870618639,0.000190157805378896,0.0293364330117181,0.82580414317055
"207460_at","207460_at","3004","GZMM","granzyme M",-1.00787254540042,8.70218682754994,-4.44816682263374,0.000193741800893058,0.0293364330117181,0.808657464268031
"202430_s_at","202430_s_at","5359","PLSCR1","phospholipid scramblase 1",1.2755947268781,7.54083523276332,4.43306537754964,0.00020109299403233,0.0293364330117181,0.774458710282855
"202464_s_at","202464_s_at","5209","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",1.06834247178769,6.82877385842402,4.43018538770755,0.000202526323797102,0.0293364330117181,0.767936523018133
"201037_at","201037_at","5214","PFKP","phosphofructokinase, platelet",-0.907977259640958,9.28174722051229,-4.42361573835724,0.000205834332578644,0.0293364330117181,0.753058368473973
