"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209156_s_at","209156_s_at","1292","COL6A2","collagen type VI alpha 2 chain",-1.25464129773486,7.06024358450109,-5.25697946042,2.6653000903413e-05,0.134331124553201,-3.63202222043722
"229943_at","229943_at","10206","TRIM13","tripartite motif containing 13",1.00624712538097,6.80128012758771,3.33068078824645,0.0029755903329866,0.996729032005328,-4.06281397258377
"204351_at","204351_at","6286","S100P","S100 calcium binding protein P",-1.47563743257749,6.2936984965402,-3.17470744228821,0.00431305885912577,0.996729032005328,-4.10269649872016
"213524_s_at","213524_s_at","50486","G0S2","G0/G1 switch 2",-1.6527794171197,6.53299590296626,-3.15509251674239,0.00451780918650725,0.996729032005328,-4.10773855983043
"235982_at","235982_at","115350","FCRL1","Fc receptor like 1",-1.09348275804209,6.9055664979726,-3.12971638936804,0.00479666923886262,0.996729032005328,-4.11426894794445
"238013_at","238013_at","59339","PLEKHA2","pleckstrin homology domain containing A2",1.06157906169946,8.19150195804071,2.98381650131384,0.00675151872894764,0.996729032005328,-4.15194615864149
"1569004_at","1569004_at","100505812","CARD8-AS1","CARD8 antisense RNA 1",0.883231321741349,6.47437814623825,2.9332132368544,0.00759320669966506,0.996729032005328,-4.165050873611
"228071_at","228071_at","168537","GIMAP7","GTPase, IMAP family member 7",0.906945766561721,10.0793045500369,2.90933559106808,0.00802438216680589,0.996729032005328,-4.17123824549857
"1563034_at","1563034_at","2819","GPD1","glycerol-3-phosphate dehydrogenase 1",-0.676779666617482,4.81980206984884,-2.82235980154236,0.00980106141578593,0.996729032005328,-4.1937847772632
"202535_at","202535_at","8772","FADD","Fas associated via death domain",0.743366324201062,7.49895601958493,2.80246579018841,0.0102570876060563,0.996729032005328,-4.19894157409307
"209616_s_at","209616_s_at","1066","CES1","carboxylesterase 1",-1.28905926573143,8.50506915702299,-2.73496962715053,0.0119589787394534,0.996729032005328,-4.21642832734915
"204794_at","204794_at","1844","DUSP2","dual specificity phosphatase 2",-1.08742450508091,7.64064503389034,-2.71444859361466,0.012527270696565,0.996729032005328,-4.22174042183381
"238723_at","238723_at","4287","ATXN3","ataxin 3",0.960642755437449,6.55937034589251,2.68315980177636,0.0134430795964491,0.996729032005328,-4.22983420930405
"222412_s_at","222412_s_at","6747","SSR3","signal sequence receptor subunit 3",0.90597967062463,7.95943426499754,2.65939210331837,0.0141805588972738,0.996729032005328,-4.23597699937283
"206724_at","206724_at","8535","CBX4","chromobox 4",-0.788167557886764,7.24217785853105,-2.63275785732014,0.0150521794241941,0.996729032005328,-4.24285408867572
"1568665_at","1568665_at","7844","RNF103","ring finger protein 103",-0.996215560512175,7.21083435907053,-2.62775638676082,0.0152213732116013,0.996729032005328,-4.24414463904483
"230337_at","230337_at","6654","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1",0.886242775583789,7.59103506006759,2.60751468875184,0.015924539462316,0.996729032005328,-4.24936469047976
"52255_s_at","52255_s_at","50509","COL5A3","collagen type V alpha 3 chain",-0.773181193205201,6.11193436818044,-2.56490766745213,0.0175053734807343,0.996729032005328,-4.26033504064785
"210910_s_at","210910_s_at","22932","POMZP3","POM121 and ZP3 fusion",0.786474655747061,6.32203185348358,2.53467523931,0.0187148703245392,0.996729032005328,-4.26810296172209
"206760_s_at","206760_s_at","2208","FCER2","Fc fragment of IgE receptor II",-0.803182326666392,6.41295157493432,-2.52098927849202,0.0192876721324962,0.996729032005328,-4.27161449908195
"222843_at","222843_at","63979","FIGNL1","fidgetin like 1",0.740994743126369,6.83081322024919,2.50957978538978,0.0197776494165995,0.996729032005328,-4.27453943717795
